client_id,variation,variation_clean,is_test
6405391,test,test,True
2374507,test,test,True
3011265,control,control,False
3029315,test,test,True
9164248,test,test,True
6450029,control,control,False
7045324,test,test,True
3582059,test,test,True
6773537,test,test,True
1314809,control,control,False
2615801,test,test,True
7375067,control,control,False
7159966,test,test,True
4575187,test,test,True
667534,test,test,True
8604038,control,control,False
2617114,control,control,False
3436975,control,control,False
119599,test,test,True
7574730,test,test,True
3362712,control,control,False
42296,control,control,False
3695514,control,control,False
1192384,control,control,False
4590361,control,control,False
5543024,test,test,True
7546085,test,test,True
3072060,test,test,True
1928906,control,control,False
512833,control,control,False
9089805,control,control,False
5397802,test,test,True
2888193,control,control,False
4778460,control,control,False
6199584,test,test,True
7192558,test,test,True
9102754,test,test,True
3576255,test,test,True
6346672,control,control,False
1274510,test,test,True
8283444,control,control,False
3519145,test,test,True
4390568,control,control,False
5694063,test,test,True
3602152,test,test,True
4065760,test,test,True
69568,test,test,True
2420923,test,test,True
5848027,control,control,False
6522942,test,test,True
1272344,test,test,True
8957739,test,test,True
8337830,control,control,False
572617,test,test,True
7744581,test,test,True
3045158,control,control,False
6747525,control,control,False
7258442,control,control,False
7746715,test,test,True
1486118,control,control,False
3563844,test,test,True
9493365,test,test,True
985881,test,test,True
9792423,test,test,True
7037852,control,control,False
6767637,control,control,False
8735726,control,control,False
5914359,test,test,True
1983898,control,control,False
8930597,control,control,False
1892008,control,control,False
9889913,test,test,True
1468125,control,control,False
3025507,control,control,False
529710,test,test,True
9842475,control,control,False
4343885,control,control,False
4876132,test,test,True
7829568,test,test,True
8472274,test,test,True
7475482,control,control,False
6371350,test,test,True
838584,test,test,True
8526665,control,control,False
9865882,control,control,False
4717090,control,control,False
1289178,test,test,True
3412472,control,control,False
6766816,test,test,True
6774011,test,test,True
3649806,test,test,True
1034218,test,test,True
4448805,control,control,False
3766837,test,test,True
9231655,control,control,False
6296222,test,test,True
2200779,test,test,True
5027124,control,control,False
1432979,control,control,False
3999559,test,test,True
3671491,control,control,False
3179230,test,test,True
9748979,control,control,False
3590487,test,test,True
8874319,test,test,True
8691226,test,test,True
9513138,control,control,False
